label,samplerate,value
accel,32.0,0.000000
accel,32.0,0.382683
accel,32.0,0.707107
accel,32.0,0.923880
accel,32.0,1.000000
accel,32.0,0.923880
accel,32.0,0.707107
accel,32.0,0.382683
accel,32.0,0.000000
accel,32.0,-0.382683
accel,32.0,-0.707107
accel,32.0,-0.923880
accel,32.0,-1.000000
accel,32.0,-0.923880
accel,32.0,-0.707107
accel,32.0,-0.382683
accel,32.0,-0.000000
accel,32.0,0.382683
accel,32.0,0.707107
accel,32.0,0.923880
accel,32.0,1.000000
accel,32.0,0.923880
accel,32.0,0.707107
accel,32.0,0.382683
accel,32.0,0.000000
accel,32.0,-0.382683
accel,32.0,-0.707107
accel,32.0,-0.923880
accel,32.0,-1.000000
accel,32.0,-0.923880
accel,32.0,-0.707107
accel,32.0,-0.382683
accel,32.0,-0.000000
accel,32.0,0.382683
accel,32.0,0.707107
accel,32.0,0.923880
accel,32.0,1.000000
accel,32.0,0.923880
accel,32.0,0.707107
accel,32.0,0.382683
accel,32.0,0.000000
accel,32.0,-0.382683
accel,32.0,-0.707107
accel,32.0,-0.923880
accel,32.0,-1.000000
accel,32.0,-0.923880
accel,32.0,-0.707107
accel,32.0,-0.382683
accel,32.0,-0.000000
accel,32.0,0.382683
accel,32.0,0.707107
accel,32.0,0.923880
accel,32.0,1.000000
accel,32.0,0.923880
accel,32.0,0.707107
accel,32.0,0.382683
accel,32.0,0.000000
accel,32.0,-0.382683
accel,32.0,-0.707107
accel,32.0,-0.923880
accel,32.0,-1.000000
accel,32.0,-0.923880
accel,32.0,-0.707107
accel,32.0,-0.382683
strain,32.0,0.000000
strain,32.0,0.831470
strain,32.0,0.923880
strain,32.0,0.195090
strain,32.0,-0.707107
strain,32.0,-0.980785
strain,32.0,-0.382683
strain,32.0,0.555570
strain,32.0,1.000000
strain,32.0,0.555570
strain,32.0,-0.382683
strain,32.0,-0.980785
strain,32.0,-0.707107
strain,32.0,0.195090
strain,32.0,0.923880
strain,32.0,0.831470
strain,32.0,0.000000
strain,32.0,-0.831470
strain,32.0,-0.923880
strain,32.0,-0.195090
strain,32.0,0.707107
strain,32.0,0.980785
strain,32.0,0.382683
strain,32.0,-0.555570
strain,32.0,-1.000000
strain,32.0,-0.555570
strain,32.0,0.382683
strain,32.0,0.980785
strain,32.0,0.707107
strain,32.0,-0.195090
strain,32.0,-0.923880
strain,32.0,-0.831470
strain,32.0,-0.000000
strain,32.0,0.831470
strain,32.0,0.923880
strain,32.0,0.195090
strain,32.0,-0.707107
strain,32.0,-0.980785
strain,32.0,-0.382683
strain,32.0,0.555570
strain,32.0,1.000000
strain,32.0,0.555570
strain,32.0,-0.382683
strain,32.0,-0.980785
strain,32.0,-0.707107
strain,32.0,0.195090
strain,32.0,0.923880
strain,32.0,0.831470
strain,32.0,0.000000
strain,32.0,-0.831470
strain,32.0,-0.923880
strain,32.0,-0.195090
strain,32.0,0.707107
strain,32.0,0.980785
strain,32.0,0.382683
strain,32.0,-0.555570
strain,32.0,-1.000000
strain,32.0,-0.555570
strain,32.0,0.382683
strain,32.0,0.980785
strain,32.0,0.707107
strain,32.0,-0.195090
strain,32.0,-0.923880
strain,32.0,-0.831470
decay,32.0,0.000000
decay,32.0,0.554703
decay,32.0,0.920997
decay,32.0,0.976199
decay,32.0,0.702701
decay,32.0,0.193572
decay,32.0,-0.379113
decay,32.0,-0.822425
decay,32.0,-0.987578
decay,32.0,-0.819859
decay,32.0,-0.376750
decay,32.0,0.191766
decay,32.0,0.693972
decay,32.0,0.961064
decay,32.0,0.903889
decay,32.0,0.542700
decay,32.0,0.000000
decay,32.0,-0.541007
decay,32.0,-0.898257
decay,32.0,-0.952096
decay,32.0,-0.685351
decay,32.0,-0.188793
decay,32.0,0.369752
decay,32.0,0.802119
decay,32.0,0.963194
decay,32.0,0.799617
decay,32.0,0.367448
decay,32.0,-0.187031
decay,32.0,-0.676838
decay,32.0,-0.937335
decay,32.0,-0.881572
decay,32.0,-0.529301
decay,32.0,-0.000000
decay,32.0,0.527650
decay,32.0,0.876079
decay,32.0,0.928589
decay,32.0,0.668430
decay,32.0,0.184131
decay,32.0,-0.360623
decay,32.0,-0.782315
decay,32.0,-0.939413
decay,32.0,-0.779874
decay,32.0,-0.358376
decay,32.0,0.182413
decay,32.0,0.660127
decay,32.0,0.914192
decay,32.0,0.859806
decay,32.0,0.516233
decay,32.0,0.000000
decay,32.0,-0.514622
decay,32.0,-0.854449
decay,32.0,-0.905662
decay,32.0,-0.651926
decay,32.0,-0.179585
decay,32.0,0.351719
decay,32.0,0.762999
decay,32.0,0.916219
decay,32.0,0.760619
decay,32.0,0.349528
decay,32.0,-0.177910
decay,32.0,-0.643828
decay,32.0,-0.891621
decay,32.0,-0.838577
decay,32.0,-0.503487
